#,Naam,Buy order,Sell offer,Profit/item,Margin,Volume/wk,Score
1,Busted Belt Buckle,62.9K,475.0K,406.1K,86.8%,25.1K,0.653
2,Booster Cookie,10.94M,11.54M,455.4K,5.2%,57.0K,0.648
3,Stock Of Stonks,2.07M,2.42M,319.6K,14.4%,43.9K,0.613
4,Shard Kraken,186.4K,285.8K,95.8K,34.8%,73.9K,0.593
5,Enchantment Harvesting 6,2.80M,3.75M,905.6K,25.4%,14.1K,0.585
6,Enchanted Sea Lumies,47.2K,100.6K,52.1K,53.0%,92.7K,0.575
7,Recombobulator 3000,9.55M,10.01M,327.0K,4.5%,51.0K,0.574
8,Titanic Exp Bottle,440.7K,592.0K,143.9K,25.6%,51.1K,0.564
9,Superior Fragment,139.5K,243.7K,101.1K,42.7%,47.7K,0.534
10,Summoning Eye,1.24M,1.36M,107.2K,9.1%,64.3K,0.504
11,Shard Bambuleaf,55.7K,130.0K,72.6K,57.1%,34.5K,0.447
12,Fuming Potato Book,1.23M,1.33M,83.5K,7.5%,53.5K,0.424
13,Giant Fragment Laser,1.10M,1.28M,169.8K,14.5%,20.6K,0.389
14,Golden Plate,1.20M,1.53M,309.0K,21.5%,10.7K,0.377
15,Helianthus,1.60M,1.69M,63.1K,5.0%,51.9K,0.355
16,Shard Apex Dragon,288.2K,343.9K,51.5K,16.2%,36.3K,0.333
17,Shard Newt,105.3K,225.2K,117.1K,53.2%,12.0K,0.317
18,Shard Power Dragon,337.2K,392.4K,50.3K,14.1%,35.5K,0.317
19,Dungeon Chest Key,389.4K,524.9K,128.9K,25.8%,14.1K,0.317
20,Precursor Gear,362.4K,446.8K,78.8K,18.9%,20.4K,0.297
21,Vermin Vaporizer Garden Chip,480.7K,565.1K,77.3K,14.9%,19.9K,0.276
22,Enchantment Green Thumb 1,2.08M,2.22M,118.0K,6.6%,17.7K,0.263
23,Precursor Apparatus,959.8K,1.09M,121.3K,12.3%,13.2K,0.252
24,Control Switch,167.0K,266.5K,96.2K,37.3%,10.9K,0.251
25,Rekindled Ember Fragment,54.9K,131.2K,74.6K,58.2%,10.8K,0.241
26,Shard Lumisquid,57.5K,123.6K,64.5K,53.5%,11.8K,0.232
27,Giant Fragment Diamond,576.9K,652.1K,67.1K,11.5%,15.1K,0.190
28,Corleonite,724.4K,826.1K,91.4K,12.3%,11.7K,0.190
29,Wither Catalyst,1.14M,1.21M,54.3K,5.7%,19.9K,0.169
30,Glossy Gemstone,1.41M,1.49M,60.7K,5.3%,17.9K,0.161
31,Shard Crocodile,311.0K,369.5K,53.9K,15.8%,13.2K,0.155
32,Shard Chameleon,1.87M,1.97M,78.7K,5.2%,11.3K,0.113
33,Enchantment Ultimate Legion 1,1.98M,2.07M,59.4K,4.1%,13.3K,0.090
34,Blue Ring,429.8K,487.5K,51.6K,11.8%,10.2K,0.084
35,Refined Tungsten,2.89M,2.98M,54.4K,3.1%,10.8K,0.021
